budget,P,B,lang,resource_tier,status,n_verify_lang,naive_fpr_lang_pct,naive_fpr_lang_pct_low,naive_fpr_lang_pct_high,naive_fpr_lang_pct_actual,naive_fpr_lang_overall_pct,naive_fpr_lang_overall_pct_low,naive_fpr_lang_overall_pct_high,naive_fpr_lang_overall_pct_actual,fpr_at_global_tau_pct,fpr_at_global_tau_pct_low,fpr_at_global_tau_pct_high,fpr_at_global_tau_pct_actual,tau_lang,tau_lang_low,tau_lang_high,tau_lang_actual
fixed,126,20,ta,low,measured,250,23.6,23.6,23.6,23.6,24.4,24.4,24.4,24.4,0.4,0.4,0.4,0.4,4.162,4.162,4.162,4.162
proportional,33,10,fr,high,measured(global-tau forecast),250,16.4,16.4,16.4,,16.8,16.8,16.8,,0.4,0.0,2.8,,3.807,3.807,3.807,
proportional,33,10,de,high,measured(global-tau forecast),250,17.2,17.2,17.2,,14.4,14.4,14.4,,0.4,0.0,1.6,,3.138,3.138,3.138,
proportional,33,10,it,high,measured(global-tau forecast),250,17.2,17.2,17.2,,15.4,15.4,15.4,,1.2,0.0,2.8,,3.456,3.456,3.456,
proportional,33,10,es,high,measured(global-tau forecast),250,22.8,22.8,22.8,,19.6,19.6,19.6,,1.6,0.4,3.6,,4.215,4.215,4.215,
proportional,33,10,pt,high,measured(global-tau forecast),250,14.8,14.8,14.8,,15.6,15.6,15.6,,0.8,0.4,3.6,,4.581,4.581,4.581,
proportional,33,10,pl,medium,synthesised,250,16.4,10.4,25.6,,15.6,12.0,24.0,,2.4,1.6,4.4,,3.539,3.364,4.241,
proportional,33,10,nl,medium,synthesised,250,15.2,7.6,25.2,,16.6,11.8,25.0,,0.4,0.0,1.2,,3.393,3.212,4.048,
proportional,33,10,ru,medium,synthesised,250,20.4,14.8,29.2,,19.0,15.6,27.6,,1.6,0.8,3.2,,3.485,3.301,4.164,
proportional,33,10,hi,medium,synthesised,250,18.0,10.4,27.2,,17.0,12.0,25.0,,0.8,0.0,2.0,,3.608,3.401,4.346,
proportional,33,10,ko,medium,synthesised,250,15.6,8.4,26.0,,17.6,13.0,26.6,,0.8,0.0,1.6,,3.436,3.274,4.103,
proportional,33,10,ja,medium,synthesised,250,20.8,13.6,30.4,,19.4,14.4,27.2,,0.8,0.0,1.6,,3.401,3.223,4.063,
proportional,33,10,bn,low,synthesised,250,14.8,8.8,25.6,,14.8,10.4,23.8,,1.2,0.0,2.0,,3.452,3.291,4.138,
proportional,33,10,fa,low,synthesised,250,17.6,11.6,25.6,,17.6,13.2,25.0,,1.2,0.4,2.0,,3.392,3.212,4.054,
proportional,33,10,vi,low,synthesised,250,17.6,11.2,28.0,,15.6,11.2,23.8,,1.6,0.8,2.8,,3.22,3.058,3.871,
proportional,33,10,iw,low,synthesised,250,19.6,12.4,28.4,,17.2,12.2,25.2,,1.6,0.4,3.2,,3.321,3.14,3.983,
proportional,33,10,uk,low,synthesised,250,20.8,12.8,29.6,,18.2,13.0,25.6,,2.4,1.2,3.6,,3.586,3.368,4.285,
proportional,33,10,ta,low,synthesised,250,16.4,10.0,24.4,,15.0,11.2,22.6,,0.8,0.0,2.8,,3.623,3.419,4.366,
proportional,66,20,fr,high,measured,250,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,0.4,0.4,0.4,0.4,3.749,3.749,3.749,3.749
proportional,66,20,de,high,measured,250,25.6,25.6,25.6,25.6,26.0,26.0,26.0,26.0,0.8,0.8,0.8,0.8,3.543,3.543,3.543,3.543
proportional,66,20,it,high,measured,250,28.0,28.0,28.0,28.0,26.2,26.2,26.2,26.2,1.2,1.2,1.2,1.2,3.508,3.508,3.508,3.508
proportional,66,20,es,high,measured,250,26.0,26.0,26.0,26.0,27.8,27.8,27.8,27.8,0.8,0.8,0.8,0.8,4.269,4.269,4.269,4.269
proportional,66,20,pt,high,measured,250,26.8,26.8,26.8,26.8,26.6,26.6,26.6,26.6,1.6,1.6,1.6,1.6,4.018,4.018,4.018,4.018
proportional,66,20,pl,medium,measured,250,24.4,24.4,24.4,24.4,29.6,29.6,29.6,29.6,2.4,2.4,2.4,2.4,3.757,3.757,3.757,3.757
proportional,66,20,nl,medium,measured,250,24.8,24.8,24.8,24.8,26.4,26.4,26.4,26.4,1.2,1.2,1.2,1.2,4.023,4.023,4.023,4.023
proportional,66,20,ru,medium,measured,250,29.6,29.6,29.6,29.6,29.4,29.4,29.4,29.4,1.6,1.6,1.6,1.6,3.712,3.712,3.712,3.712
proportional,66,20,hi,medium,measured,250,23.6,23.6,23.6,23.6,23.8,23.8,23.8,23.8,1.6,1.6,1.6,1.6,3.739,3.739,3.739,3.739
proportional,66,20,ko,medium,measured,250,22.4,22.4,22.4,22.4,25.6,25.6,25.6,25.6,1.2,1.2,1.2,1.2,3.576,3.576,3.576,3.576
