target_language,optimization_type,strategy,best_languages,best_clusters,score,num_languages,language_selection_by_cluster
fr,simple,gp_learning,"['mwl', 'udm', 'ron', 'myv', 'arg', 'vec', 'cos', 'scn', 'lad', 'mdf', 'sma', 'smj', 'krl', 'por', 'ita', 'spa', 'est', 'srd', 'sme', 'izh', 'vep', 'hun', 'sms', 'smn', 'nap', 'fin', 'pms', 'kpv', 'lij', 'ext', 'lmo', 'glg', 'ast', 'cat', 'liv']","[4, 14]",5.07036781843777,35,
fr,simple,winner,"['mwl', 'udm', 'ron', 'myv', 'arg', 'vec', 'cos', 'scn', 'lad', 'mdf', 'sma', 'smj', 'krl', 'por', 'ita', 'spa', 'est', 'srd', 'sme', 'izh', 'vep', 'hun', 'sms', 'smn', 'nap', 'fin', 'pms', 'kpv', 'lij', 'ext', 'lmo', 'glg', 'ast', 'cat', 'liv']","[4, 14]",5.07036781843777,35,
iw,simple,max_distance,"['cos', 'fra', 'est', 'kpv', 'pms', 'scn', 'mdf', 'ron', 'ast', 'lmo', 'ext', 'myv', 'udm', 'izh', 'smn', 'krl', 'srd', 'sme', 'hun', 'ita', 'nap', 'spa', 'glg', 'liv', 'por', 'cat', 'vec', 'lij', 'arg', 'mwl', 'lad', 'fin', 'smj', 'sms', 'vep', 'sma']","[4, 14]",1.0,36,
iw,simple,min_distance,"['amh', 'mlt', 'ara']",[10],0.3806333333333334,3,
iw,simple,diversity,"['amh', 'mlt', 'kan', 'mal', 'tam', 'ara']","[9, 10]",0.30796747495005516,6,
iw,simple,gp_learning,"['cos', 'fra', 'est', 'kpv', 'pms', 'scn', 'mdf', 'ron', 'ast', 'lmo', 'ext', 'myv', 'udm', 'izh', 'smn', 'krl', 'srd', 'sme', 'hun', 'ita', 'nap', 'spa', 'glg', 'liv', 'por', 'cat', 'vec', 'lij', 'arg', 'mwl', 'lad', 'fin', 'smj', 'sms', 'vep', 'sma']","[4, 14]",5.25,36,
iw,simple,winner,"['cos', 'fra', 'est', 'kpv', 'pms', 'scn', 'mdf', 'ron', 'ast', 'lmo', 'ext', 'myv', 'udm', 'izh', 'smn', 'krl', 'srd', 'sme', 'hun', 'ita', 'nap', 'spa', 'glg', 'liv', 'por', 'cat', 'vec', 'lij', 'arg', 'mwl', 'lad', 'fin', 'smj', 'sms', 'vep', 'sma']","[4, 14]",5.25,36,
it,simple,max_distance,"['kpv', 'smn', 'kir', 'sms', 'kaz', 'vep', 'fin', 'liv', 'sma', 'uig', 'tur', 'smj', 'krl', 'izh', 'sme', 'uzb', 'mdf', 'udm', 'aze', 'hun', 'myv', 'est']","[4, 8]",1.0,22,
it,simple,min_distance,"['por', 'ron', 'lmo', 'fra', 'srd', 'ext', 'cos', 'mwl', 'scn', 'arg', 'nap', 'lad', 'lij', 'glg', 'vec', 'ast', 'cat', 'spa', 'pms']",[14],0.5501052631578947,19,
it,simple,diversity,"['kpv', 'smn', 'por', 'sms', 'ron', 'lmo', 'vep', 'fin', 'fra', 'srd', 'ext', 'liv', 'sma', 'cos', 'mwl', 'smj', 'scn', 'arg', 'krl', 'nap', 'lad', 'izh', 'lij', 'sme', 'mdf', 'udm', 'glg', 'hun', 'myv', 'est', 'vec', 'ast', 'cat', 'spa', 'pms']","[4, 14]",0.5783390104679677,35,
it,simple,gp_learning,"['kpv', 'smn', 'por', 'sms', 'ron', 'lmo', 'vep', 'fin', 'fra', 'srd', 'ext', 'liv', 'sma', 'cos', 'mwl', 'smj', 'scn', 'arg', 'krl', 'nap', 'lad', 'izh', 'lij', 'sme', 'mdf', 'udm', 'glg', 'hun', 'myv', 'est', 'vec', 'ast', 'cat', 'spa', 'pms']","[4, 14]",5.066012889085588,35,
it,simple,winner,"['kpv', 'smn', 'por', 'sms', 'ron', 'lmo', 'vep', 'fin', 'fra', 'srd', 'ext', 'liv', 'sma', 'cos', 'mwl', 'smj', 'scn', 'arg', 'krl', 'nap', 'lad', 'izh', 'lij', 'sme', 'mdf', 'udm', 'glg', 'hun', 'myv', 'est', 'vec', 'ast', 'cat', 'spa', 'pms']","[4, 14]",5.066012889085588,35,
pt,simple,max_distance,"['kaz', 'hun', 'fin', 'tur', 'krl', 'vep', 'kpv', 'liv', 'smn', 'izh', 'myv', 'smj', 'uig', 'aze', 'sma', 'sms', 'mdf', 'sme', 'udm', 'est', 'kir', 'uzb']","[4, 8]",1.0,22,
pt,simple,min_distance,"['mwl', 'spa', 'cos', 'ext', 'lij', 'ron', 'lad', 'cat', 'ita', 'glg', 'arg', 'vec', 'ast', 'scn', 'pms', 'fra', 'nap', 'srd', 'lmo']",[14],0.6667736842105263,19,
pt,simple,diversity,"['mwl', 'hun', 'fin', 'spa', 'cos', 'krl', 'ext', 'vep', 'lij', 'kpv', 'liv', 'smn', 'izh', 'myv', 'smj', 'ron', 'sma', 'sms', 'mdf', 'lad', 'cat', 'ita', 'glg', 'arg', 'sme', 'vec', 'ast', 'udm', 'est', 'scn', 'pms', 'fra', 'nap', 'srd', 'lmo']","[4, 14]",0.6162337916117079,35,
pt,simple,gp_learning,"['mwl', 'hun', 'fin', 'spa', 'cos', 'krl', 'ext', 'vep', 'lij', 'kpv', 'liv', 'smn', 'izh', 'myv', 'smj', 'ron', 'sma', 'sms', 'mdf', 'lad', 'cat', 'ita', 'glg', 'arg', 'sme', 'vec', 'ast', 'udm', 'est', 'scn', 'pms', 'fra', 'nap', 'srd', 'lmo']","[4, 14]",5.069578349442915,35,
pt,simple,winner,"['mwl', 'hun', 'fin', 'spa', 'cos', 'krl', 'ext', 'vep', 'lij', 'kpv', 'liv', 'smn', 'izh', 'myv', 'smj', 'ron', 'sma', 'sms', 'mdf', 'lad', 'cat', 'ita', 'glg', 'arg', 'sme', 'vec', 'ast', 'udm', 'est', 'scn', 'pms', 'fra', 'nap', 'srd', 'lmo']","[4, 14]",5.069578349442915,35,
ta,simple,max_distance,"['lad', 'lij', 'udm', 'fra', 'smj', 'sme', 'smn', 'spa', 'cat', 'mdf', 'cos', 'krl', 'ast', 'myv', 'scn', 'kpv', 'arg', 'pms', 'sma', 'por', 'izh', 'est', 'ext', 'ita', 'lmo', 'ron', 'nap', 'mwl', 'hun', 'glg', 'liv', 'sms', 'srd', 'vep', 'vec', 'fin']","[4, 14]",1.0,36,
ta,simple,min_distance,"['mal', 'kan']",[9],0.5151,2,
ta,simple,diversity,"['ell', 'mal', 'kan']","[9, 21]",0.460134862194545,3,
ta,simple,gp_learning,"['lad', 'lij', 'udm', 'fra', 'smj', 'sme', 'smn', 'spa', 'cat', 'mdf', 'cos', 'krl', 'ast', 'myv', 'scn', 'kpv', 'arg', 'pms', 'sma', 'por', 'izh', 'est', 'ext', 'ita', 'lmo', 'ron', 'nap', 'mwl', 'hun', 'glg', 'liv', 'sms', 'srd', 'vep', 'vec', 'fin']","[4, 14]",5.25,36,
ta,simple,winner,"['lad', 'lij', 'udm', 'fra', 'smj', 'sme', 'smn', 'spa', 'cat', 'mdf', 'cos', 'krl', 'ast', 'myv', 'scn', 'kpv', 'arg', 'pms', 'sma', 'por', 'izh', 'est', 'ext', 'ita', 'lmo', 'ron', 'nap', 'mwl', 'hun', 'glg', 'liv', 'sms', 'srd', 'vep', 'vec', 'fin']","[4, 14]",5.25,36,
de,simple,max_distance,"['sms', 'hun', 'sma', 'uzb', 'liv', 'aze', 'myv', 'smj', 'est', 'kpv', 'izh', 'uig', 'smn', 'krl', 'fin', 'kaz', 'vep', 'udm', 'tur', 'sme', 'kir', 'mdf']","[4, 8]",1.0,22,
de,simple,min_distance,"['dan', 'fao', 'ltz', 'nor', 'swe', 'nld', 'eng', 'isl', 'afr']",[3],0.45620000000000005,9,
de,simple,diversity,"['dan', 'fao', 'kir', 'ltz', 'kaz', 'nor', 'uig', 'tur', 'swe', 'uzb', 'aze', 'nld', 'eng', 'isl', 'afr']","[3, 8]",0.564762029397845,15,
de,simple,gp_learning,"['sms', 'pms', 'hun', 'nap', 'sma', 'liv', 'scn', 'ita', 'vec', 'lad', 'arg', 'ext', 'myv', 'ron', 'ast', 'smj', 'por', 'est', 'kpv', 'izh', 'spa', 'smn', 'krl', 'fin', 'glg', 'vep', 'udm', 'lmo', 'sme', 'lij', 'srd', 'fra', 'cat', 'mdf', 'cos', 'mwl']","[4, 14]",5.240064673849917,36,
de,simple,winner,"['sms', 'pms', 'hun', 'nap', 'sma', 'liv', 'scn', 'ita', 'vec', 'lad', 'arg', 'ext', 'myv', 'ron', 'ast', 'smj', 'por', 'est', 'kpv', 'izh', 'spa', 'smn', 'krl', 'fin', 'glg', 'vep', 'udm', 'lmo', 'sme', 'lij', 'srd', 'fra', 'cat', 'mdf', 'cos', 'mwl']","[4, 14]",5.240064673849917,36,
uk,simple,max_distance,"['myv', 'smj', 'vep', 'sma', 'uig', 'kpv', 'krl', 'kaz', 'liv', 'kir', 'udm', 'sms', 'fin', 'est', 'mdf', 'izh', 'uzb', 'hun', 'smn', 'tur', 'aze', 'sme']","[4, 8]",1.0,22,
uk,simple,min_distance,"['pol', 'lav', 'lit', 'srp', 'hrv', 'slv', 'ces', 'bul', 'rus', 'slk', 'hye', 'bel']",[0],0.40926666666666656,12,
